ngram,total_count,up_count,down_count,polarity_score,polarity
ftse/NNG,773,246,381,0.6456692913385826,Dovish
압사/NNG,23,8,13,0.6153846153846154,Dovish
경제/NNG;지표/NNG;좋/VA;않/VX,107,31,55,0.5636363636363636,Dovish
제조업/NNG;생산/NNG;감소/NNG,39,10,23,0.43478260869565216,Dovish
탈퇴/NNG,5624,1427,3078,0.4636127355425601,Dovish
저조/NNG;성장/NNG,36,12,17,0.7058823529411765,Dovish
대외/NNG;여건/NNG;악화/NNG,186,53,84,0.6309523809523809,Dovish
기업/NNG;실적/NNG;악화/NNG;우려/NNG,82,19,49,0.3877551020408163,Dovish
세계/NNG;경제/NNG;부정적/VAX,46,15,25,0.6,Dovish
소비/NNG;미약/NNG,15,6,8,0.75,Dovish
경기/NNG;악화/NNG,488,174,238,0.7310924369747899,Dovish
우물쭈물/MAG,15,4,6,0.6666666666666666,Dovish
분도/NNG,46,16,22,0.7272727272727273,Dovish
혼조/NNG;끝/NNG,18,5,10,0.5,Dovish
g8/NNG,285,106,147,0.7210884353741497,Dovish
금융자본/NNG,115,39,55,0.7090909090909091,Dovish
정작/NNG,756,254,339,0.7492625368731564,Dovish
터주/VV,72,25,37,0.6756756756756757,Dovish
대출/NNG;회피/NNG,58,16,32,0.5,Dovish
수익금/NNG,314,103,151,0.6821192052980133,Dovish
부동산펀드/NNG,686,228,349,0.6532951289398281,Dovish
수익/NNG;안정/NNG,63,23,30,0.7666666666666667,Dovish
경영난/NNG,385,132,182,0.7252747252747253,Dovish
인증서/NNG,130,41,60,0.6833333333333333,Dovish
추경/NNG,10202,2832,5583,0.5072541644277271,Dovish
동독/NNG,36,11,16,0.6875,Dovish
부채/NNG;많이/MAG;늘/VV,18,6,8,0.75,Dovish
디폴트/NNG,6820,2091,3078,0.6793372319688109,Dovish
할지/VV,587,186,254,0.7322834645669292,Dovish
일보/NNG,7254,2387,3269,0.7301927194860813,Dovish
뺏기/VV,56,17,29,0.5862068965517241,Dovish
반성/NNG,366,114,185,0.6162162162162163,Dovish
초당/NNG,149,56,80,0.7,Dovish
행정관/NNG,71,24,36,0.6666666666666666,Dovish
과거사/NNG,144,34,61,0.5573770491803278,Dovish
결단/NNG,553,182,252,0.7222222222222222,Dovish
호화/NNG,103,35,48,0.7291666666666666,Dovish
정보보호/NNG,158,40,80,0.5,Dovish
협조/NNG,1850,613,877,0.6989737742303307,Dovish
감산/NNG,4489,1475,2156,0.6841372912801484,Dovish
에너지의존도/NNG,16,6,9,0.6666666666666666,Dovish
곁들여/VV,22,6,11,0.5454545454545454,Dovish
미증유/NNG,28,8,14,0.5714285714285714,Dovish
수출/NNG;수요/NNG;감소/NNG,18,5,9,0.5555555555555556,Dovish
감산/NNG;합의/NNG;실패/NNG,19,6,11,0.5454545454545454,Dovish
바싹/MAG,88,28,37,0.7567567567567568,Dovish
내부통제/NNG,454,160,216,0.7407407407407407,Dovish
취록/NNG,60,21,30,0.7,Dovish
경징계/NNG,50,7,35,0.2,Dovish
볼멘/VV,51,14,22,0.6363636363636364,Dovish
망할/VV,70,20,40,0.5,Dovish
말려/VV,22,7,12,0.5833333333333334,Dovish
맞선다/VV,47,12,19,0.631578947368421,Dovish
도산/NNG,1352,402,728,0.5521978021978022,Dovish
횡포/NNG,191,64,88,0.7272727272727273,Dovish
기업/NNG;자금사정/NNG;악화/NNG,27,9,14,0.6428571428571429,Dovish
폭락/NNG,1231,448,616,0.7272727272727273,Dovish
역마진/NNG,1091,374,502,0.7450199203187251,Dovish
부채/NNG;구조/NNG;개선/NNG,37,12,22,0.5454545454545454,Dovish
역마진/NNG;우려/NNG,89,28,40,0.7,Dovish
도가니/NNG,48,13,19,0.6842105263157895,Dovish
악몽/NNG,437,144,209,0.6889952153110048,Dovish
일삼/VV,89,30,40,0.75,Dovish
몰락/NNG,442,141,252,0.5595238095238095,Dovish
금융시장/NNG;공포/NNG,45,14,20,0.7,Dovish
금융시장/NNG;패닉/NNG,120,34,71,0.4788732394366197,Dovish
위기/NNG;크/VV,58,20,28,0.7142857142857143,Dovish
자금난/NNG,1773,577,910,0.634065934065934,Dovish
세계/NNG;경기/NNG;위축/NNG,38,11,21,0.5238095238095238,Dovish
기업/NNG;투자/NNG;위축/NNG,98,32,46,0.6956521739130435,Dovish
부정적/VAX;파급효과/NNG,129,41,57,0.7192982456140351,Dovish
한바탕/MAG,115,39,52,0.75,Dovish
전망/NNG;어둡/VA,242,83,114,0.7280701754385965,Dovish
경제/NNG;과열/NNG;막/VV,31,7,21,0.3333333333333333,Dovish
불발/NNG,666,221,312,0.7083333333333334,Dovish
타전/NNG,69,25,35,0.7142857142857143,Dovish
사과/NNG,809,273,359,0.7604456824512534,Dovish
함구/NNG,66,21,29,0.7241379310344828,Dovish
굴복/NNG,207,62,95,0.6526315789473685,Dovish
들쭉날쭉/MAG,138,45,65,0.6923076923076923,Dovish
대출자금/NNG,271,94,129,0.7286821705426356,Dovish
제로/NNG,2771,891,1238,0.7197092084006462,Dovish
집단/NNG;대출/NNG;증가/NNG,71,21,37,0.5675675675675675,Dovish
주택/NNG;경기/NNG;살/VV,56,16,31,0.5161290322580645,Dovish
주주이익/NNG,86,27,39,0.6923076923076923,Dovish
경제/NNG;지표/NNG;부정적/VAX,39,11,18,0.6111111111111112,Dovish
경기/NNG;완연/NNG;회복/NNG,29,10,15,0.6666666666666666,Dovish
내심/NNG,510,144,254,0.5669291338582677,Dovish
담배가격/NNG,406,148,203,0.729064039408867,Dovish
벗어난다/VV,26,9,13,0.6923076923076923,Dovish
한시름/NNG,74,20,42,0.47619047619047616,Dovish
담배가격/NNG;인상/NNG,181,63,90,0.7,Dovish
적자/NNG;줄/VV,94,32,43,0.7441860465116279,Dovish
내수/NNG;살/VV,262,82,113,0.7256637168141593,Dovish
부증/NNG,328,96,154,0.6233766233766234,Dovish
재정방출/NNG,78,23,33,0.696969696969697,Dovish
횡령/NNG,645,213,289,0.7370242214532872,Dovish
이자수익/NNG;줄/VV,37,12,19,0.631578947368421,Dovish
패션쇼/NNG,25,9,12,0.75,Dovish
이천/NNG,61,16,24,0.6666666666666666,Dovish
명인/NNG,26,8,12,0.6666666666666666,Dovish
관람/NNG,220,57,103,0.5533980582524272,Dovish
이모/NNG,345,118,166,0.7108433734939759,Dovish
모럴해저드/NNG,276,81,147,0.5510204081632653,Dovish
살펴본다/VV,56,18,30,0.6,Dovish
노년층/NNG,186,59,82,0.7195121951219512,Dovish
경기/NNG;침체/NNG;막/VV,221,70,118,0.5932203389830508,Dovish
소득/NNG;높/VA,60,21,31,0.6774193548387096,Dovish
주택/NNG;줄/VV,21,8,11,0.7272727272727273,Dovish
cp/NNG,7526,2404,3627,0.6628067273228564,Dovish
소프트패치/NNG;경기/NNG;회복국면/NNG;일시적/VAX;침체/NNG,15,5,7,0.7142857142857143,Dovish
양측/NNG,856,292,390,0.7487179487179487,Dovish
파격적/VAX,890,223,527,0.42314990512333966,Dovish
장기보유/NNG,131,41,63,0.6507936507936508,Dovish
개발부담금/NNG,109,29,60,0.48333333333333334,Dovish
건설부/NNG,60,19,28,0.6785714285714286,Dovish
부동산개발업자/NNG,87,29,44,0.6590909090909091,Dovish
하한선/NNG,515,126,283,0.4452296819787986,Dovish
불입금/NNG,34,12,17,0.7058823529411765,Dovish
비용/NNG;인하/NNG,26,7,17,0.4117647058823529,Dovish
무역/NNG;적자/NNG;감소/NNG,62,22,29,0.7586206896551724,Dovish
opec/NNG;감산/NNG,537,178,251,0.7091633466135459,Dovish
白/NNG,120,38,59,0.6440677966101694,Dovish
악당/NNG,15,5,9,0.5555555555555556,Dovish
군림/NNG,65,22,32,0.6875,Dovish
맞아떨어졌/VV,41,13,18,0.7222222222222222,Dovish
대출보증/NNG,506,142,253,0.5612648221343873,Dovish
정작/MAG,350,120,163,0.7361963190184049,Dovish
메가톤/NNG,117,41,54,0.7592592592592593,Dovish
반토막/NNG,855,274,410,0.6682926829268293,Dovish
상정/NNG,884,314,419,0.7494033412887828,Dovish
고육지책/NNG,149,49,72,0.6805555555555556,Dovish
자금시장/NNG,2550,855,1341,0.6375838926174496,Dovish
쏠린다/VV,710,215,302,0.7119205298013245,Dovish
문제삼/VV,75,22,40,0.55,Dovish
외국인/NNG;투자자금/NNG;이탈/NNG,78,22,37,0.5945945945945946,Dovish
매달리/VV,107,39,51,0.7647058823529411,Dovish
꾀해야/VV,49,18,24,0.75,Dovish
항아리/NNG,44,12,22,0.5454545454545454,Dovish
강단/NNG,41,14,19,0.7368421052631579,Dovish
중개사/NNG,281,97,140,0.6928571428571428,Dovish
원화자금/NNG,189,70,95,0.7368421052631579,Dovish
나눌/VV,167,54,83,0.6506024096385542,Dovish
중개회사/NNG,106,27,46,0.5869565217391305,Dovish
인가제/NNG,25,9,12,0.75,Dovish
단자/NNG,26,8,11,0.7272727272727273,Dovish
상주/NNG,171,59,83,0.7108433734939759,Dovish
중징계/NNG,217,59,109,0.5412844036697247,Dovish
떠넘기/VV,202,64,94,0.6808510638297872,Dovish
떠안/VV,995,346,468,0.7393162393162394,Dovish
건넸/VV,62,18,27,0.6666666666666666,Dovish
직속/NNG,161,57,75,0.76,Dovish
사리/VV,174,55,85,0.6470588235294118,Dovish
유가/NNG;하락/NNG;상승/NNG,35,10,14,0.7142857142857143,Dovish
기대/NNG;저점/NNG,26,8,11,0.7272727272727273,Dovish
대원칙/NNG,44,13,21,0.6190476190476191,Dovish
실가과세/NNG,21,6,15,0.4,Dovish
초고층/NNG,148,54,73,0.7397260273972602,Dovish
발족/NNG,333,114,159,0.7169811320754716,Dovish
일으켜/VV,216,74,101,0.7326732673267327,Dovish
제책/NNG,26,8,12,0.6666666666666666,Dovish
면역/NNG,105,31,58,0.5344827586206896,Dovish
배지/NNG,27,9,12,0.75,Dovish
헌/XSV,430,149,195,0.764102564102564,Dovish
해외/NNG;투자/NNG;활성화/NNG,148,48,88,0.5454545454545454,Dovish
