up_count,down_count,ngram,total_count,polar_score,polarity
16,17, 채권/NNG;금리/NNG;하향/NNG,33,1.3666138423898828,Hawkish
26,29, 안정화/NNG;추세/NNG,55,1.3018174964145008,Hawkish
12,10, 도공/NNG,22,1.742432649047101,Hawkish
85,93, 관문/NNG,178,1.3271216412993152,Hawkish
27,29, 남겨둘/VV,56,1.3518874001227508,Hawkish
54,60, 가사/NNG,114,1.3068244867853256,Hawkish
17,12, 우려/NNG;넘/VV,29,2.0570385440139387,Hawkish
39,30, 무더위/NNG,69,1.887635369801026,Hawkish
12,12, 자금/NNG;조달/NNG;비용/NNG;하락/NNG,24,1.4520272075392509,Hawkish
17,13, 우려/NNG;금리/NNG;하락/NNG,30,1.8988048098590204,Hawkish
104,28, 등급평가/NNG,132,5.3932439137172175,Hawkish
17,9, 주대/NNG,26,2.7427180586852518,Hawkish
33,29, 국채/NNG;무제한/NNG,62,1.6523068223722508,Hawkish
11,7, 수출/NNG;경기/NNG;악화/NNG,18,2.2817570404188228,Hawkish
35,35, 자구/NNG,70,1.4520272075392509,Hawkish
36,26, 정적/NNG,62,2.010499210438963,Hawkish
14,11, 재정건전화계획/NNG,25,1.8480346277772284,Hawkish
20,13, 민간/NNG;경기/NNG;회복/NNG,33,2.2338880115988475,Hawkish
26,1, 위금/NNG,27,37.752707396020526,Hawkish
36,38, 지나갈/VV,74,1.375604722931922,Hawkish
12,9, 지칠/VV,21,1.9360362767190011,Hawkish
18,11, 대외/NNG;충격/NNG;취약/NNG,29,2.376044521427865,Hawkish
11,9, 적잖/VA;영향/NNG;줄/VV,20,1.774699920325751,Hawkish
16,9, 구제금융/NNG;불확실성/NNG,25,2.5813817022920014,Hawkish
10,10, 어렵/VA;불안/NNG,20,1.4520272075392509,Hawkish
20,17, 변변/NNG,37,1.7082673029873539,Hawkish
11,7, 축강/NNG,18,2.2817570404188228,Hawkish
16,0, 생지/NNG,16,inf,Hawkish
9,7, 걸리/NNG,16,1.866892123979037,Hawkish
23,22, 신청기업/NNG,45,1.5180284442455803,Hawkish
12,6, 행사시/NNG,18,2.9040544150785017,Hawkish
45,39, 걸러/VV,84,1.6754160086991354,Hawkish
11,11, 경기/NNG;회복/NNG;모멘텀/NNG;강화/NNG,22,1.4520272075392509,Hawkish
33,28, 투자/NNG;매력/NNG;감소/NNG,61,1.7113177803141169,Hawkish
18,4, 발행/NNG;수요/NNG;증가/NNG,22,6.534122433926629,Hawkish
